Ventas/Fact,Frambuesa,Arandano,Frutilla,Mora,Mix,Frambuesa molida,Mango,Piña,Maracuya,Empanada Queso,,Compras/Fact/Fe,Frambuesa,Arandano,Frutilla,Mora,Mix,Frambuesa Molida,Mango,Piña,Melón Tuna,Maracuya,Empanadas,Pu Frambuesa,Pu Frutilla,Pu Mango,Pu Piña
251,100,,,,,,,,,,,,,,,,,,,,,,,,,,
252,20,12,,,,,,,,,,,,,,,,,,,,,,,,,
253,10,,,,,20,,,,,,,,,,,,,,,,,,,,,
254,10,,,,,,,,,,10 limón,,,,,,,,,,,,,,,,
255,15,15,,,,,,,,,,,,,,,,,,,,,,,,,
256,5,,,,,5,,,,,,,,,,,,,,,,,,,,,
257,10,10,,,,,,,,,10,,,,,,,,,,,,,,,,
258,30,24,24,,20,,,,,,,,,,,,,,,,,,,,,,
259,,10,,,,,,,,,,,,,,,,,,,,,,,,,
260,,10,,,,,,,,,,,,,,,,,,,,,,,,,
261,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
262,40,12,12,12,20,,,,,,,,,,,,,,,,,,,,,,
263,10,,,,,5,,,,,3 lúcuma,,,,,,,,,,,,,,,,
264,20,,,,,,,,,,,,,,,,,,,,,,,,,,
265,15,,,,,,,,,,10 limón,,,,,,,,,,,,,,,,
266,40,12,24,,20,,,,,,,,,,,,,,,,,,,,,,
267,20,,,,,,,,,,,,,,,,,,,,,,,,,,
268,5,,5,,,,5,,,,,,,,,,,,,,,,,,,,
269,,,10,,,10,10,10,,,,,,,,,,,,,,,,,,,
270,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
271,10,,,,,,,,,,,,,,,,,,,,,,,,,,
272,5,,,,10,20,,,,,,,,,,,,,,,,,,,,,
273,15,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,2,,2,2,4,2,,,,,,,,,,,,,,,,,,,
275,20,24,36,12,30,,,,,,,,,,,,,,,,,,,,,,
276,15,,,,,,,,,,10 limón,,,,,,,,,,,,,,,,
277,,20,,,,,,,,,,,,,,,,,,,,,,,,,
278,400,,,,,24,,,,,,,,,,,,,,,,,,,,,
279,,5,15,,,,,,,,,,,,,,,,,,,,,,,,
280,15,,,,,5,,,,,2 limón,,,,,,,,,,,,,,,,
281,20,,,,,,,,,,,,,,,,,,,,,,,,,,
